campo,problema,tratamento,justificativa,impacto
Todos os CSVs,Encoding latin1 (não UTF-8),"Leitura com encoding=""latin1""",Arquivos gerados em sistema legado brasileiro com acentos em latin1. UTF-8 geraria caracteres corrompidos em nomes de produtos e cidades.,ESTRUTURAL
dimensao_precos: PRECO_EMBALAGEM_*,Vírgula como separador decimal (padrão pt-BR),"str.replace("","",""."") + pd.to_numeric()",Campos lidos como string. Conversão necessária para qualquer cálculo de receita ou margem.,ALTO
dim_produto: CONVERSAO_COMPRA_ARMAZENAGEM,Mesmo problema de vírgula decimal,"str.replace("","",""."") + pd.to_numeric()",Fator de conversão errado distorceria volume de estoque calculado.,ALTO
fato_estoque_inicial: ESTOQUE_INICIAL,"1.329 registros nulos (5,2%)",fillna(0),"Ausência de registro indica produto não disponível naquela loja no início do período. Tratar como zero é conservador: subestima estoque inicial, o que gera alerta precoce de ruptura — direção segura para o negócio.",MÉDIO
fato_compras: PRECO_UNIT_UNIDADE_COMPRA,"132 registros sem preço (9,5% das entradas)",Mantidos no volume físico; excluídos do cálculo de CMV e valor de compras,Volume físico é válido para cálculo de estoque. Custo não pode ser imputado sem risco de distorção de margem.,MÉDIO
fato_vendas: RECEITA (nova),Receita não estava pré-calculada,RECEITA = QUANTIDADE_VENDIDA × PRECO_UNIT_MEDIO,Campo derivado necessário para todos os rankings e análises de desempenho.,ESTRUTURAL
fato_vendas: QTD_ARMAZENAGEM (nova),Quantidade em unidade de venda ≠ unidade de estoque,QTD_ARMAZENAGEM = QUANTIDADE_VENDIDA × CONVERSAO_VENDA_PARA_ARMAZENAGEM,"Para calcular posição de estoque, precisamos da mesma unidade de medida do estoque inicial e compras. Sem conversão, packs/caixas seriam somados como unidades.",ALTO
Loja 93 (Alhandra - PB),Comportamento atípico: ticket R$6.160 vs média R$309 da rede; 32% da receita com 12% dos SKUs,Análises segmentadas: com e sem loja 93. FLAG_LOJA93 criado em fato_vendas.,Preço médio unitário 13× superior e mix concentrado em Eletros (76% da receita da loja) indicam operação de atacado/distribuição. Incluir nos médias da rede mascara o desempenho real das lojas físicas.,ALTO
dim_produto: CODIGOs 208976 e 232822,2 produtos cadastrados sem nenhuma transação de venda nos 24 meses,Mantidos na dimensão; excluídos das análises de desempenho; sinalizados como candidatos à descontinuação,"Presença no cadastro sem venda implica custo de gestão (espaço, inventário) sem retorno. Confirmação com área comercial antes de descontinuar.",BAIXO
fato_compras vs fato_vendas,"2.400 SKUs vendidos (79,8% da receita) sem compra registrada no período",Estoque projetado usará apenas estoque_inicial como fonte de entrada para esses SKUs,Provável que reposição ocorra via transferência entre lojas ou que o período de compras seja anterior ao corte da base. Não indica erro — indica que o estoque inicial é o principal ativo de cobertura.,ESTRUTURAL
